Stock_Code,Initial_Capital,Final_Value,Total_Return_Percent,Max_Drawdown_Percent,Trading_Days
BREN,10000000,46884669733.801025,468746.6973380103,0.0,400
BMRI,10000000,292207455.0,2822.07455,0.0,469
BBRI,10000000,255423157.78149414,2454.2315778149414,0.0,469
BBCA,10000000,125740134.5053711,1157.4013450537109,0.0,469
BYAN,10000000,93966082.0390625,839.6608203906251,0.0,469
