Stock_Code,Initial_Capital,Final_Value,Total_Return_Percent,Max_Drawdown_Percent,Trading_Days
BREN,10000000,59406571.228271484,494.06571228271486,-24.577867217160524,400
BYAN,10000000,9378074.484375,-6.21925515625,-29.07985451548561,469
BMRI,10000000,8861255.0,-11.387450000000001,-29.740555439048507,469
BBRI,10000000,8804665.303955078,-11.953346960449219,-22.7833955009328,469
BBCA,10000000,5728211.404296875,-42.71788595703125,-45.980948404270784,469
