Stock_Code,Initial_Capital,Final_Value,Total_Return_Percent,Max_Drawdown_Percent,Trading_Days
BREN,10000000,58547059.29272461,485.47059292724606,-24.57797099394749,400
BYAN,10000000,9541493.20703125,-4.5850679296875,-27.854340078947175,469
BMRI,10000000,8861255.0,-11.387450000000001,-29.740555439048507,469
BBRI,10000000,8756517.794189453,-12.43482205810547,-23.655463516296336,469
BBCA,10000000,5617390.82421875,-43.8260917578125,-47.02377979891098,469
